YEAR,OCC1950,MARST,mariageStatusCount,Count,percent,MaritalStatus,Profession
2019,0,4,2266,21590,10.49559981,Divorced,Accountants and auditors
2019,0,5,559,21590,2.589161649,Widowed,Accountants and auditors
2019,0,6,4520,21590,20.93561834,Never married/single,Accountants and auditors
1880,1,1,177,565,31.32743363,"Married, spouse present",Actors and actresses
1880,1,2,63,565,11.15044248,"Married, spouse absent",Actors and actresses
1880,1,4,5,565,0.884955752,Divorced,Actors and actresses
1880,1,5,26,565,4.601769912,Widowed,Actors and actresses
1880,1,6,294,565,52.03539823,Never married/single,Actors and actresses
1900,1,1,241,784,30.73979592,"Married, spouse present",Actors and actresses
1900,1,2,73,784,9.31122449,"Married, spouse absent",Actors and actresses
1900,1,4,9,784,1.147959184,Divorced,Actors and actresses
1900,1,5,38,784,4.846938776,Widowed,Actors and actresses
1900,1,6,423,784,53.95408163,Never married/single,Actors and actresses
1910,1,1,133,326,40.79754601,"Married, spouse present",Actors and actresses
1910,1,2,23,326,7.055214724,"Married, spouse absent",Actors and actresses
1910,1,4,6,326,1.840490798,Divorced,Actors and actresses
1910,1,5,13,326,3.987730061,Widowed,Actors and actresses
1910,1,6,151,326,46.3190184,Never married/single,Actors and actresses
1920,1,1,90,246,36.58536585,"Married, spouse present",Actors and actresses
1920,1,2,25,246,10.16260163,"Married, spouse absent",Actors and actresses
1920,1,4,10,246,4.06504065,Divorced,Actors and actresses
1920,1,5,10,246,4.06504065,Widowed,Actors and actresses
1920,1,6,111,246,45.12195122,Never married/single,Actors and actresses
1930,1,1,599,1633,36.6809553,"Married, spouse present",Actors and actresses
1930,1,2,140,1633,8.5731782,"Married, spouse absent",Actors and actresses
1930,1,4,100,1633,6.123698714,Divorced,Actors and actresses
1930,1,5,73,1633,4.470300061,Widowed,Actors and actresses
1930,1,6,721,1633,44.15186773,Never married/single,Actors and actresses
1940,1,1,75,211,35.5450237,"Married, spouse present",Actors and actresses
1940,1,2,19,211,9.004739336,"Married, spouse absent",Actors and actresses
1940,1,4,17,211,8.056872038,Divorced,Actors and actresses
1940,1,5,11,211,5.213270142,Widowed,Actors and actresses
1940,1,6,89,211,42.18009479,Never married/single,Actors and actresses
1950,1,1,81,153,52.94117647,"Married, spouse present",Actors and actresses
1950,1,2,9,153,5.882352941,"Married, spouse absent",Actors and actresses
1950,1,3,3,153,1.960784314,Separated,Actors and actresses
1950,1,4,11,153,7.189542484,Divorced,Actors and actresses
1950,1,5,6,153,3.921568627,Widowed,Actors and actresses
1950,1,6,43,153,28.10457516,Never married/single,Actors and actresses
1960,1,1,520,1017,51.13077679,"Married, spouse present",Actors and actresses
1960,1,2,14,1017,1.376597837,"Married, spouse absent",Actors and actresses
1960,1,3,13,1017,1.27826942,Separated,Actors and actresses
1960,1,4,98,1017,9.636184857,Divorced,Actors and actresses
1960,1,5,44,1017,4.326450344,Widowed,Actors and actresses
1960,1,6,328,1017,32.25172075,Never married/single,Actors and actresses
1970,1,1,218,490,44.48979592,"Married, spouse present",Actors and actresses
1970,1,2,8,490,1.632653061,"Married, spouse absent",Actors and actresses
1970,1,3,12,490,2.448979592,Separated,Actors and actresses
1970,1,4,45,490,9.183673469,Divorced,Actors and actresses
1970,1,5,18,490,3.673469388,Widowed,Actors and actresses
1970,1,6,189,490,38.57142857,Never married/single,Actors and actresses
2000,1,1,915,2568,35.63084112,"Married, spouse present",Actors and actresses
2000,1,2,54,2568,2.102803738,"Married, spouse absent",Actors and actresses
2000,1,3,34,2568,1.323987539,Separated,Actors and actresses
2000,1,4,285,2568,11.09813084,Divorced,Actors and actresses
2000,1,5,79,2568,3.076323988,Widowed,Actors and actresses
2000,1,6,1201,2568,46.76791277,Never married/single,Actors and actresses
2001,1,1,81,214,37.85046729,"Married, spouse present",Actors and actresses
2001,1,2,2,214,0.934579439,"Married, spouse absent",Actors and actresses
2001,1,3,4,214,1.869158879,Separated,Actors and actresses
2001,1,4,26,214,12.14953271,Divorced,Actors and actresses
2001,1,5,5,214,2.336448598,Widowed,Actors and actresses
2001,1,6,96,214,44.85981308,Never married/single,Actors and actresses
2002,1,1,72,208,34.61538462,"Married, spouse present",Actors and actresses
2002,1,2,9,208,4.326923077,"Married, spouse absent",Actors and actresses
2002,1,3,1,208,0.480769231,Separated,Actors and actresses
2002,1,4,22,208,10.57692308,Divorced,Actors and actresses
2002,1,5,8,208,3.846153846,Widowed,Actors and actresses
2002,1,6,96,208,46.15384615,Never married/single,Actors and actresses
2003,1,1,77,199,38.69346734,"Married, spouse present",Actors and actresses
2003,1,2,1,199,0.502512563,"Married, spouse absent",Actors and actresses
2003,1,3,2,199,1.005025126,Separated,Actors and actresses
2003,1,4,26,199,13.06532663,Divorced,Actors and actresses
2003,1,5,3,199,1.507537688,Widowed,Actors and actresses
2003,1,6,90,199,45.22613065,Never married/single,Actors and actresses
2004,1,1,90,219,41.09589041,"Married, spouse present",Actors and actresses
2004,1,2,1,219,0.456621005,"Married, spouse absent",Actors and actresses
2004,1,3,5,219,2.283105023,Separated,Actors and actresses
2004,1,4,32,219,14.61187215,Divorced,Actors and actresses
2004,1,5,2,219,0.913242009,Widowed,Actors and actresses
2004,1,6,89,219,40.63926941,Never married/single,Actors and actresses
2005,1,1,231,569,40.59753954,"Married, spouse present",Actors and actresses
2005,1,2,4,569,0.702987698,"Married, spouse absent",Actors and actresses
2005,1,3,11,569,1.933216169,Separated,Actors and actresses
2005,1,4,62,569,10.89630931,Divorced,Actors and actresses
2005,1,5,15,569,2.636203866,Widowed,Actors and actresses
2005,1,6,246,569,43.23374341,Never married/single,Actors and actresses
2006,1,1,222,597,37.18592965,"Married, spouse present",Actors and actresses
2006,1,2,5,597,0.837520938,"Married, spouse absent",Actors and actresses
2006,1,3,8,597,1.340033501,Separated,Actors and actresses
2006,1,4,58,597,9.715242881,Divorced,Actors and actresses
2006,1,5,15,597,2.512562814,Widowed,Actors and actresses
2006,1,6,289,597,48.40871022,Never married/single,Actors and actresses
2007,1,1,246,664,37.04819277,"Married, spouse present",Actors and actresses
2007,1,2,9,664,1.355421687,"Married, spouse absent",Actors and actresses
2007,1,3,8,664,1.204819277,Separated,Actors and actresses
2007,1,4,83,664,12.5,Divorced,Actors and actresses
2007,1,5,15,664,2.259036145,Widowed,Actors and actresses
2007,1,6,303,664,45.63253012,Never married/single,Actors and actresses
2008,1,1,255,602,42.35880399,"Married, spouse present",Actors and actresses
2008,1,2,9,602,1.495016611,"Married, spouse absent",Actors and actresses
2008,1,3,6,602,0.996677741,Separated,Actors and actresses
2008,1,4,65,602,10.79734219,Divorced,Actors and actresses
2008,1,5,15,602,2.491694352,Widowed,Actors and actresses
2008,1,6,252,602,41.86046512,Never married/single,Actors and actresses
2009,1,1,246,653,37.67228178,"Married, spouse present",Actors and actresses
2009,1,2,7,653,1.071975498,"Married, spouse absent",Actors and actresses
2009,1,3,12,653,1.837672282,Separated,Actors and actresses
2009,1,4,51,653,7.810107198,Divorced,Actors and actresses
2009,1,5,13,653,1.990811639,Widowed,Actors and actresses
2009,1,6,324,653,49.61715161,Never married/single,Actors and actresses
2010,1,1,221,646,34.21052632,"Married, spouse present",Actors and actresses
2010,1,2,12,646,1.857585139,"Married, spouse absent",Actors and actresses
2010,1,3,9,646,1.393188854,Separated,Actors and actresses
2010,1,4,79,646,12.22910217,Divorced,Actors and actresses
2010,1,5,17,646,2.631578947,Widowed,Actors and actresses
2010,1,6,308,646,47.67801858,Never married/single,Actors and actresses
2011,1,1,227,665,34.13533835,"Married, spouse present",Actors and actresses
2011,1,2,16,665,2.406015038,"Married, spouse absent",Actors and actresses
2011,1,3,11,665,1.654135338,Separated,Actors and actresses
2011,1,4,75,665,11.27819549,Divorced,Actors and actresses
2011,1,5,8,665,1.203007519,Widowed,Actors and actresses
2011,1,6,328,665,49.32330827,Never married/single,Actors and actresses
2012,1,1,243,681,35.68281938,"Married, spouse present",Actors and actresses
2012,1,2,11,681,1.615271659,"Married, spouse absent",Actors and actresses
2012,1,3,8,681,1.174743025,Separated,Actors and actresses
2012,1,4,66,681,9.691629956,Divorced,Actors and actresses
2012,1,5,14,681,2.055800294,Widowed,Actors and actresses
2012,1,6,339,681,49.77973568,Never married/single,Actors and actresses
2013,1,1,260,718,36.21169916,"Married, spouse present",Actors and actresses
2013,1,2,18,718,2.506963788,"Married, spouse absent",Actors and actresses
2013,1,3,10,718,1.39275766,Separated,Actors and actresses
2013,1,4,69,718,9.610027855,Divorced,Actors and actresses
2013,1,5,21,718,2.924791086,Widowed,Actors and actresses
2013,1,6,340,718,47.35376045,Never married/single,Actors and actresses
2014,1,1,262,735,35.6462585,"Married, spouse present",Actors and actresses
2014,1,2,10,735,1.360544218,"Married, spouse absent",Actors and actresses
2014,1,3,6,735,0.816326531,Separated,Actors and actresses
2014,1,4,77,735,10.47619048,Divorced,Actors and actresses
2014,1,5,15,735,2.040816327,Widowed,Actors and actresses
2014,1,6,365,735,49.65986395,Never married/single,Actors and actresses
2015,1,1,282,734,38.41961853,"Married, spouse present",Actors and actresses
2015,1,2,10,734,1.36239782,"Married, spouse absent",Actors and actresses
2015,1,3,12,734,1.634877384,Separated,Actors and actresses
2015,1,4,58,734,7.901907357,Divorced,Actors and actresses
2015,1,5,19,734,2.588555858,Widowed,Actors and actresses
2015,1,6,353,734,48.09264305,Never married/single,Actors and actresses
2016,1,1,321,826,38.86198547,"Married, spouse present",Actors and actresses
2016,1,2,13,826,1.573849879,"Married, spouse absent",Actors and actresses
2016,1,3,15,826,1.81598063,Separated,Actors and actresses
2016,1,4,84,826,10.16949153,Divorced,Actors and actresses
2016,1,5,19,826,2.300242131,Widowed,Actors and actresses
2016,1,6,374,826,45.27845036,Never married/single,Actors and actresses
2017,1,1,330,843,39.14590747,"Married, spouse present",Actors and actresses
2017,1,2,17,843,2.016607355,"Married, spouse absent",Actors and actresses
2017,1,3,10,843,1.18623962,Separated,Actors and actresses
2017,1,4,60,843,7.117437722,Divorced,Actors and actresses
2017,1,5,15,843,1.779359431,Widowed,Actors and actresses
2017,1,6,411,843,48.7544484,Never married/single,Actors and actresses
2018,1,1,330,823,40.09720535,"Married, spouse present",Actors and actresses
2018,1,2,15,823,1.822600243,"Married, spouse absent",Actors and actresses
2018,1,3,12,823,1.458080194,Separated,Actors and actresses
2018,1,4,71,823,8.626974484,Divorced,Actors and actresses
2018,1,5,14,823,1.70109356,Widowed,Actors and actresses
2018,1,6,381,823,46.29404617,Never married/single,Actors and actresses
2019,1,1,380,970,39.17525773,"Married, spouse present",Actors and actresses
2019,1,2,8,970,0.824742268,"Married, spouse absent",Actors and actresses
2019,1,3,10,970,1.030927835,Separated,Actors and actresses
2019,1,4,85,970,8.762886598,Divorced,Actors and actresses
2019,1,5,13,970,1.340206186,Widowed,Actors and actresses
2019,1,6,474,970,48.86597938,Never married/single,Actors and actresses
1880,2,1,2,3,66.66666667,"Married, spouse present",Airplane pilots and navigators
1880,2,6,1,3,33.33333333,Never married/single,Airplane pilots and navigators
1900,2,1,2,3,66.66666667,"Married, spouse present",Airplane pilots and navigators
1900,2,2,1,3,33.33333333,"Married, spouse absent",Airplane pilots and navigators
1910,2,2,1,1,100,"Married, spouse absent",Airplane pilots and navigators
1920,2,1,5,8,62.5,"Married, spouse present",Airplane pilots and navigators
1920,2,6,3,8,37.5,Never married/single,Airplane pilots and navigators
1930,2,1,111,270,41.11111111,"Married, spouse present",Airplane pilots and navigators
1930,2,2,13,270,4.814814815,"Married, spouse absent",Airplane pilots and navigators
1930,2,4,10,270,3.703703704,Divorced,Airplane pilots and navigators
1930,2,5,3,270,1.111111111,Widowed,Airplane pilots and navigators
1930,2,6,133,270,49.25925926,Never married/single,Airplane pilots and navigators
1940,2,1,48,72,66.66666667,"Married, spouse present",Airplane pilots and navigators
1940,2,2,3,72,4.166666667,"Married, spouse absent",Airplane pilots and navigators
1940,2,5,1,72,1.388888889,Widowed,Airplane pilots and navigators
1940,2,6,20,72,27.77777778,Never married/single,Airplane pilots and navigators
1950,2,1,131,167,78.44311377,"Married, spouse present",Airplane pilots and navigators
1950,2,2,6,167,3.592814371,"Married, spouse absent",Airplane pilots and navigators
1950,2,4,3,167,1.796407186,Divorced,Airplane pilots and navigators
1950,2,5,1,167,0.598802395,Widowed,Airplane pilots and navigators
1950,2,6,26,167,15.56886228,Never married/single,Airplane pilots and navigators
1960,2,1,1280,1450,88.27586207,"Married, spouse present",Airplane pilots and navigators
1960,2,2,19,1450,1.310344828,"Married, spouse absent",Airplane pilots and navigators
1960,2,3,9,1450,0.620689655,Separated,Airplane pilots and navigators
1960,2,4,33,1450,2.275862069,Divorced,Airplane pilots and navigators
1960,2,5,5,1450,0.344827586,Widowed,Airplane pilots and navigators
1960,2,6,104,1450,7.172413793,Never married/single,Airplane pilots and navigators
1970,2,1,891,1068,83.42696629,"Married, spouse present",Airplane pilots and navigators
1970,2,2,15,1068,1.404494382,"Married, spouse absent",Airplane pilots and navigators
1970,2,3,8,1068,0.74906367,Separated,Airplane pilots and navigators
1970,2,4,44,1068,4.119850187,Divorced,Airplane pilots and navigators
1970,2,5,11,1068,1.029962547,Widowed,Airplane pilots and navigators
1970,2,6,99,1068,9.269662921,Never married/single,Airplane pilots and navigators
1980,2,1,3215,4103,78.35729954,"Married, spouse present",Airplane pilots and navigators
1980,2,2,51,4103,1.242992932,"Married, spouse absent",Airplane pilots and navigators
1980,2,3,68,4103,1.657323909,Separated,Airplane pilots and navigators
1980,2,4,298,4103,7.262978309,Divorced,Airplane pilots and navigators
1980,2,5,19,4103,0.463075798,Widowed,Airplane pilots and navigators
1980,2,6,452,4103,11.01632951,Never married/single,Airplane pilots and navigators
1990,2,1,4490,5946,75.51294988,"Married, spouse present",Airplane pilots and navigators
1990,2,2,76,5946,1.278170198,"Married, spouse absent",Airplane pilots and navigators
1990,2,3,87,5946,1.463168517,Separated,Airplane pilots and navigators
1990,2,4,487,5946,8.190380087,Divorced,Airplane pilots and navigators
1990,2,5,32,5946,0.538176926,Widowed,Airplane pilots and navigators
1990,2,6,774,5946,13.01715439,Never married/single,Airplane pilots and navigators
2000,2,1,4951,6729,73.57705454,"Married, spouse present",Airplane pilots and navigators
2000,2,2,152,6729,2.258879477,"Married, spouse absent",Airplane pilots and navigators
2000,2,3,76,6729,1.129439738,Separated,Airplane pilots and navigators
2000,2,4,622,6729,9.243572596,Divorced,Airplane pilots and navigators
2000,2,5,53,6729,0.787635607,Widowed,Airplane pilots and navigators
2000,2,6,875,6729,13.00341804,Never married/single,Airplane pilots and navigators
2001,2,1,518,690,75.07246377,"Married, spouse present",Airplane pilots and navigators
2001,2,2,8,690,1.15942029,"Married, spouse absent",Airplane pilots and navigators
2001,2,3,8,690,1.15942029,Separated,Airplane pilots and navigators
2001,2,4,54,690,7.826086957,Divorced,Airplane pilots and navigators
2001,2,5,4,690,0.579710145,Widowed,Airplane pilots and navigators
2001,2,6,98,690,14.20289855,Never married/single,Airplane pilots and navigators
2002,2,1,515,693,74.31457431,"Married, spouse present",Airplane pilots and navigators
2002,2,2,7,693,1.01010101,"Married, spouse absent",Airplane pilots and navigators
2002,2,3,7,693,1.01010101,Separated,Airplane pilots and navigators
2002,2,4,71,693,10.24531025,Divorced,Airplane pilots and navigators
2002,2,5,4,693,0.577200577,Widowed,Airplane pilots and navigators
2002,2,6,89,693,12.84271284,Never married/single,Airplane pilots and navigators
2003,2,1,489,669,73.0941704,"Married, spouse present",Airplane pilots and navigators
2003,2,2,6,669,0.896860987,"Married, spouse absent",Airplane pilots and navigators
2003,2,3,8,669,1.195814649,Separated,Airplane pilots and navigators
2003,2,4,65,669,9.715994021,Divorced,Airplane pilots and navigators
2003,2,5,6,669,0.896860987,Widowed,Airplane pilots and navigators
2003,2,6,95,669,14.20029895,Never married/single,Airplane pilots and navigators
2004,2,1,515,670,76.86567164,"Married, spouse present",Airplane pilots and navigators
2004,2,2,13,670,1.940298507,"Married, spouse absent",Airplane pilots and navigators
2004,2,3,4,670,0.597014925,Separated,Airplane pilots and navigators
2004,2,4,49,670,7.313432836,Divorced,Airplane pilots and navigators
2004,2,5,4,670,0.597014925,Widowed,Airplane pilots and navigators
